meanRT,RT10prctile,Accuracy,Condition,SubjectID,Subjects_session,Unique_Session,N200amplitudes,N200latencies,RemoveN200,minBETAamplitudes,minBETAlatencies,RemoveminBETA,P300amplitudes,P300latencies,RemoveP300,minRPamplitudes,minRPlatencies,RemoveminRP
0.71659,0.50156,0.77215,6,144,2,7,-0.15549,0.1709,0,-0.61536,0.46359,0,0.063826,0.34766,0,-0.06649,0.0019492,0
0.47433,0.38672,0.67089,1,145,4,8,-0.12086,0.20215,0,-0.69573,0.32688,0,0.066422,0.54395,0,-0.11959,0.00097264,1
0.54319,0.43799,0.6375,2,145,4,8,-0.1181,0.20117,0,-0.52732,0.3757,0,0.049051,0.27539,1,-0.072304,0.00097264,1
0.52759,0.43555,0.7375,3,145,4,8,-0.10497,0.19043,0,-0.21869,0.39035,0,0.046404,0.5332,0,-0.074498,0.0019492,0
0.47419,0.38359,0.71622,4,145,4,8,-0.1152,0.19824,0,-0.047977,0.27805,0,0.066832,0.5127,0,-0.098128,0.00097264,1
0.58739,0.46436,0.6875,5,145,4,8,-0.099866,0.20508,0,-0.0057927,0.59543,1,0.032732,0.58691,0,-0.10691,0.037105,0
0.60418,0.43125,0.77215,6,145,4,8,-0.098349,0.19922,0,-0.048533,0.49777,0,0.042231,0.56836,0,-0.078272,0.02441,0
0.61573,0.47021,0.7,1,146,1,9,-0.12878,0.19141,0,-0.06378,0.21457,0,0.044319,0.57031,0,-0.061047,0.00097264,1
0.74227,0.56396,0.7375,2,146,1,9,-0.13429,0.19043,0,-0.19213,0.37082,0,0.018404,0.27539,1,-0.06626,0.022457,0
0.83033,0.59033,0.7875,3,146,1,9,-0.11894,0.19238,0,-0.03436,0.3757,0,0.068288,0.27539,1,-0.024072,0.41893,0
0.64191,0.49951,0.6875,4,146,1,9,-0.10736,0.19531,0,0.047079,0.33664,0,0.076015,0.55371,0,-0.03809,0.13281,0
0.55279,0.4416,0.62338,5,146,1,9,-0.099292,0.19336,0,0.059006,0.55637,0,0.058517,0.27539,1,-0.054395,0.12792,0
0.56832,0.4209,0.65,6,146,1,9,-0.13508,0.19434,0,-0.096078,0.54172,0,0.064839,0.44141,0,-0.096382,0.10351,0
