RT,Accuracy,Condition,SubjectID,Subjects_session,Unique_Session,Noisetimes,Intertrial,Stimtime,Spatial_frequencies,Random_rotations,Speed_cutoff,Given_feedback,N200amplitudes,N200latencies,RemoveN200,RemoveRT,Training,Artifact
0.56543,1,4,112,1,1,0.75,1.9063,2.2833,2.4,312.31,1,2,-41.646,0.16406,0,0,1,0
0.64746,0,4,112,1,1,0.575,1.8691,2.1,2.6,146.95,0,0,-36.988,0.18457,0,0,1,0
0.57129,1,4,112,1,1,0.825,1.7198,2.5333,2.4,258.55,1,2,-44.18,0.25879,0,0,1,0
NaN,NaN,4,112,1,1,0.85,1.545,2.6167,2.4,235.43,1,1,NaN,NaN,0,0,0,0
0.38477,0,4,112,1,1,0.975,1.7403,2.5167,2.6,53.548,1,1,-33.598,0.21094,0,0,1,0
NaN,NaN,4,112,1,1,0.825,1.8749,2.3333,2.4,53.454,1,2,NaN,NaN,0,1,1,0
0.5625,0,4,112,1,1,0.675,1.9351,2.475,2.6,197.25,0,0,-63.31,0.2168,0,0,1,0
0.52148,0,4,112,1,1,0.85,1.7589,2.65,2.6,265.51,1,1,-45.552,0.22656,0,0,1,0
NaN,NaN,4,112,1,1,0.925,1.705,2.5083,2.6,185.79,0,0,NaN,NaN,0,0,0,0
0.38379,0,4,112,1,1,0.875,1.5521,2.825,2.6,110.19,1,1,-30.141,0.24023,0,0,1,0
0.62402,1,4,112,1,1,0.875,1.9448,2.675,2.4,199.14,0,0,-71.923,0.23926,0,0,1,0
NaN,NaN,4,112,1,1,0.8,1.7772,2.5,2.6,178,1,2,NaN,NaN,1,1,1,0
NaN,NaN,4,112,1,1,0.975,1.8149,2.7,2.6,215.68,1,1,NaN,NaN,0,1,0,0
0.53027,1,4,112,1,1,0.8,1.6681,2.5083,2.4,38.148,1,2,-53.378,0.18652,0,0,1,0
0.58691,0,4,112,1,1,0.775,1.5684,2.3167,2.4,139.49,0,0,-46.449,0.2373,0,0,1,0
NaN,NaN,4,112,1,1,0.675,1.8,2.5583,2.6,209.68,0,0,NaN,NaN,1,0,1,0
NaN,NaN,4,112,1,1,0.65,1.9126,2.25,2.6,357.87,1,1,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.975,1.5759,2.7417,2.6,40.004,1,1,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.675,1.8498,2.5417,2.6,271.91,1,2,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.925,1.6814,2.75,2.4,105.11,1,1,NaN,NaN,0,1,0,0
NaN,NaN,4,112,1,1,0.55,1.5944,2.425,2.4,53.136,0,0,NaN,NaN,1,0,1,0
NaN,NaN,4,112,1,1,0.675,1.9645,2.5583,2.4,346.91,1,1,NaN,NaN,0,0,0,0
0.5498,0,4,112,1,1,0.7,1.6576,2.3917,2.4,223.92,1,1,-60.785,0.24023,0,0,1,0
0.55176,0,4,112,1,1,0.825,1.5482,2.6833,2.6,276.35,1,1,-11.614,0.17578,0,0,1,0
0.68652,1,4,112,1,1,0.625,1.917,2.2833,2.4,153.1,0,0,-40.156,0.1582,0,0,1,0
0.46387,0,4,112,1,1,0.625,1.5495,2.1583,2.6,176.81,1,1,-5.0465,0.16504,0,0,1,0
NaN,NaN,4,112,1,1,0.925,1.6005,2.9,2.4,173.4,0,0,NaN,NaN,1,0,0,0
0.59473,0,4,112,1,1,0.825,1.879,2.6833,2.6,143.6,0,0,-69.135,0.26367,0,0,1,0
0.50684,0,4,112,1,1,0.6,1.8351,2.1083,2.6,96.11,1,1,-28.33,0.25781,0,0,1,0
NaN,NaN,4,112,1,1,0.55,1.8712,2.525,2.6,187.85,0,0,NaN,NaN,0,0,0,0
0.56543,0,4,112,1,1,0.75,1.9547,2.4667,2.6,33.631,1,1,-34.089,0.20508,0,0,1,0
NaN,NaN,4,112,1,1,0.55,1.9373,2.4,2.6,260.13,1,1,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.65,1.8832,2.5917,2.6,341.44,1,1,NaN,NaN,0,0,0,0
0.53711,0,4,112,1,1,0.725,1.8178,2.475,2.4,221.56,1,1,-28.51,0.19824,0,0,1,0
0.55664,1,4,112,1,1,0.625,1.9845,2.5083,2.6,57.192,1,2,-35.586,0.19922,0,0,1,0
0.45508,1,4,112,1,1,0.725,1.9157,2.5083,2.6,318.5,1,2,-56.483,0.20312,0,0,1,0
NaN,NaN,4,112,1,1,0.825,1.5509,2.4417,2.6,270.73,1,2,NaN,NaN,0,0,0,0
0.36914,1,4,112,1,1,0.75,1.5616,2.525,2.6,187.14,1,2,-11.991,0.19531,0,0,1,0
NaN,NaN,4,112,1,1,0.85,1.7488,2.7583,2.6,175.49,1,2,NaN,NaN,0,1,0,0
NaN,NaN,4,112,1,1,0.575,1.7334,2.1,2.6,99.149,1,2,NaN,NaN,0,1,0,0
NaN,NaN,4,112,1,1,0.825,1.8801,2.575,2.6,37.787,1,2,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,1,1.6308,2.5833,2.4,228.33,1,1,NaN,NaN,1,1,1,0
0.60449,0,4,112,1,1,0.75,1.8785,2.6583,2.6,257.05,0,0,-8.3248,0.25977,0,0,1,0
NaN,NaN,4,112,1,1,0.825,1.8463,2.6917,2.4,292.46,1,2,NaN,NaN,1,0,1,0
NaN,NaN,4,112,1,1,0.625,1.7171,2.5333,2.4,290.44,1,2,NaN,NaN,0,1,1,0
0.44824,1,4,112,1,1,0.525,1.8431,2.0417,2.4,70.329,1,2,-62.387,0.23047,0,0,1,0
NaN,NaN,4,112,1,1,0.525,1.56,2.5083,2.4,356.68,1,2,NaN,NaN,0,1,0,0
NaN,NaN,4,112,1,1,0.875,1.6278,2.4583,2.6,189.67,1,1,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.775,1.5484,2.3583,2.6,20.174,1,2,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.55,1.5301,2.15,2.6,81.227,1,2,NaN,NaN,1,0,1,0
NaN,NaN,4,112,1,1,0.9,1.6574,2.6667,2.6,201.95,1,2,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.875,1.6701,2.425,2.4,169.72,1,1,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.725,1.7007,2.375,2.4,32.265,1,2,NaN,NaN,1,1,1,0
0.82227,0,4,112,1,1,0.55,1.9407,2.5333,2.6,218.57,0,0,-21.555,0.21582,0,0,1,0
NaN,NaN,4,112,1,1,0.525,1.9592,2.275,2.4,78.815,1,2,NaN,NaN,1,1,1,0
NaN,NaN,4,112,1,1,0.625,1.7458,2.55,2.6,2.5132,1,1,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.625,1.9238,2.275,2.6,168.77,1,1,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.975,1.5798,2.925,2.6,340.61,1,2,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.925,1.694,2.5,2.6,2.7448,1,2,NaN,NaN,0,1,0,0
NaN,NaN,4,112,1,1,0.9,1.5932,2.4167,2.6,20.207,1,2,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.525,1.8656,2.25,2.6,286.11,0,0,NaN,NaN,0,0,0,0
0.82324,0,4,112,1,1,0.7,1.8371,2.4833,2.4,175.1,0,0,-24.062,0.18945,0,0,1,0
NaN,NaN,4,112,1,1,0.575,1.6674,2.0917,2.6,31.17,1,2,NaN,NaN,1,1,0,0
0.39258,1,4,112,1,1,0.725,1.6217,2.675,2.6,43.149,1,2,-56.238,0.14453,0,0,1,0
NaN,NaN,4,112,1,1,0.975,1.9079,2.5833,2.6,313.09,1,2,NaN,NaN,1,0,0,0
NaN,NaN,4,112,1,1,0.6,1.792,2.3833,2.6,261.39,1,2,NaN,NaN,1,0,1,0
NaN,NaN,4,112,1,1,0.975,1.7659,2.5833,2.4,346.71,1,1,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.75,1.9986,2.45,2.4,9.7414,1,2,NaN,NaN,0,1,1,0
0.43555,1,4,112,1,1,0.725,1.507,2.7083,2.4,126.33,1,2,-35.419,0.20508,0,0,1,0
NaN,NaN,4,112,1,1,0.875,1.752,2.4583,2.6,93.728,1,1,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.825,1.7221,2.75,2.6,228.91,1,2,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.825,1.8451,2.7667,2.6,11.218,1,2,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.7,1.5995,2.3667,2.6,341.67,1,2,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.95,1.7673,2.9167,2.4,149.14,1,1,NaN,NaN,0,1,0,0
0.35938,0,4,112,1,1,0.6,1.6574,2.35,2.6,253.23,1,1,-37.332,0.24805,0,0,1,0
NaN,NaN,4,112,1,1,0.725,1.8393,2.5333,2.4,37.114,1,1,NaN,NaN,0,1,1,0
NaN,NaN,4,112,1,1,0.65,1.5187,2.4083,2.4,174.12,1,2,NaN,NaN,0,1,0,0
0.40234,1,4,112,1,1,0.925,1.6165,2.6917,2.4,84.27,1,2,-51.045,0.20605,0,0,1,0
NaN,NaN,4,112,1,1,0.975,1.6808,2.575,2.4,343.74,1,2,NaN,NaN,0,1,0,0
NaN,NaN,4,112,1,1,0.7,1.6905,2.4417,2.6,123.47,1,1,NaN,NaN,0,1,1,0
0.83594,0,5,112,1,1,0.925,1.5666,2.8333,2.6,88.472,1,1,-39.264,0.22754,0,0,1,0
0.50977,1,5,112,1,1,0.575,1.7471,2.0917,2.6,304.43,1,2,-53.844,0.22656,0,0,1,0
NaN,NaN,5,112,1,1,0.8,1.7509,2.3917,2.6,312.07,1,1,NaN,NaN,0,0,0,0
0.36523,1,5,112,1,1,0.975,1.9411,2.7833,2.4,20.796,1,2,-31.717,0.22168,0,0,1,0
0.38574,1,5,112,1,1,0.8,1.5411,2.6917,2.4,140.91,1,2,-22.564,0.2041,0,0,1,0
NaN,NaN,5,112,1,1,0.925,1.6064,2.9,2.6,310.75,1,1,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.675,1.6426,2.375,2.4,64.172,1,1,NaN,NaN,0,1,1,0
0.53809,0,5,112,1,1,0.6,1.7024,2.275,2.6,225.53,1,1,-56.02,0.20703,0,0,1,0
NaN,NaN,5,112,1,1,0.5,1.9271,2.4083,2.4,343.19,1,2,NaN,NaN,0,1,0,0
NaN,NaN,5,112,1,1,0.625,1.84,2.25,2.4,315.09,1,2,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.525,1.9028,2.45,2.4,99.822,1,2,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.7,1.6146,2.3083,2.6,19.117,1,1,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.5,1.8617,2.1583,2.4,338.56,1,1,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.925,1.5246,2.5,2.4,266.82,1,2,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.75,1.63,2.7083,2.4,152.14,1,2,NaN,NaN,0,0,0,0
NaN,NaN,5,112,1,1,0.7,1.5138,2.5417,2.4,340.85,1,2,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.625,1.9937,2.5333,2.4,122.96,1,2,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.55,1.5713,2.1583,2.4,244.73,1,2,NaN,NaN,1,0,1,0
NaN,NaN,5,112,1,1,0.65,1.9439,2.1917,2.6,201.48,1,1,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.9,1.8353,2.7083,2.6,174.77,1,2,NaN,NaN,1,0,1,0
0.69238,0,5,112,1,1,0.875,1.7306,2.725,2.4,143.3,1,1,-8.6755,0.2334,0,0,1,0
NaN,NaN,5,112,1,1,0.825,1.6979,2.35,2.4,340.4,1,1,NaN,NaN,0,1,0,0
0.5791,1,5,112,1,1,0.55,1.6858,2.25,2.6,354.2,1,2,-27.231,0.21582,0,0,1,0
NaN,NaN,5,112,1,1,0.875,1.9652,2.4,2.4,28.019,1,1,NaN,NaN,1,0,1,0
NaN,NaN,5,112,1,1,0.95,1.9429,2.9333,2.4,322.62,1,2,NaN,NaN,0,0,0,0
0.4043,0,5,112,1,1,1,1.7887,2.7417,2.6,35.831,1,1,-27.18,0.15332,0,0,1,0
0.59766,1,5,112,1,1,0.875,1.7659,2.8667,2.4,10.253,1,2,-22.094,0.24219,0,0,1,0
0.7168,0,5,112,1,1,0.55,1.8436,2.1333,2.4,21.533,1,1,4.3841,0.2002,0,0,1,0
0.67969,1,5,112,1,1,0.5,1.8482,2.4083,2.6,336.36,1,2,-48.766,0.18945,0,0,1,0
NaN,NaN,5,112,1,1,0.9,1.6454,2.65,2.6,258.23,1,2,NaN,NaN,1,0,1,0
0.53906,1,5,112,1,1,0.6,1.6403,2.1833,2.4,124.01,1,2,-42.917,0.25195,0,0,1,0
NaN,NaN,5,112,1,1,0.65,1.55,2.4583,2.4,195.54,1,2,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.575,1.8222,2.1833,2.6,229.15,1,1,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.925,1.5407,2.45,2.6,115.48,1,2,NaN,NaN,0,1,1,0
0.38086,1,5,112,1,1,0.55,1.882,2.15,2.6,333,1,2,-35.454,0.2207,0,0,1,0
NaN,NaN,5,112,1,1,0.775,1.6299,2.7667,2.6,181.19,1,2,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.775,1.863,2.4667,2.4,347.26,1,1,NaN,NaN,0,1,0,0
NaN,NaN,5,112,1,1,0.75,1.5709,2.575,2.6,56.815,1,2,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.95,1.7485,2.7167,2.4,284.97,1,1,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.975,1.732,2.625,2.6,350.86,1,1,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.7,1.7943,2.4167,2.6,119.9,1,1,NaN,NaN,0,1,1,0
0.4209,1,5,112,1,1,0.725,1.6373,2.4167,2.4,312.1,1,2,-46.099,0.24219,0,0,1,0
0.37793,0,5,112,1,1,0.5,1.5756,2.3,2.6,258.03,1,1,-26.398,0.21484,0,0,1,0
0.83594,1,5,112,1,1,0.75,1.7013,2.4583,2.4,43.893,1,2,-33.53,0.22754,0,0,1,0
0.80371,0,5,112,1,1,0.675,1.6304,2.3,2.4,5.0941,1,1,-33.903,0.25781,0,0,1,0
0.86621,1,5,112,1,1,0.7,1.8574,2.2417,2.6,334.42,0,0,-35.729,0.19727,0,0,1,0
NaN,NaN,5,112,1,1,0.875,1.7012,2.3833,2.4,273.02,1,2,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.925,1.9619,2.6833,2.6,138.6,1,1,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.875,1.9514,2.8583,2.6,68.966,1,2,NaN,NaN,0,1,0,0
NaN,NaN,5,112,1,1,1,1.6654,2.775,2.4,327.99,1,2,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.9,1.6053,2.65,2.6,34.237,1,1,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.9,1.6953,2.6417,2.6,89.311,1,2,NaN,NaN,0,1,1,0
0.57812,1,5,112,1,1,0.575,1.8482,2.3417,2.6,224.61,1,2,-22.936,0.21191,0,0,1,0
0.40625,1,5,112,1,1,0.675,1.6236,2.2,2.6,240.1,1,2,-45.209,0.16016,0,0,1,0
0.40625,0,5,112,1,1,1,1.7399,2.9667,2.4,133.4,1,1,-55.562,0.21777,0,0,1,0
NaN,NaN,5,112,1,1,0.525,1.901,2.0417,2.4,0.53942,1,2,NaN,NaN,0,1,0,0
NaN,NaN,5,112,1,1,0.85,1.956,2.7583,2.4,144.74,0,0,NaN,NaN,1,1,1,0
NaN,NaN,5,112,1,1,0.675,1.9468,2.6167,2.6,338.75,1,1,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.5,1.8437,2.1667,2.4,164.14,1,1,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.875,1.6578,2.75,2.4,352.95,1,1,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.5,1.9649,2.4167,2.4,90.319,1,2,NaN,NaN,0,1,0,0
NaN,NaN,5,112,1,1,0.8,1.6809,2.7083,2.4,141.2,1,2,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.775,1.8489,2.6083,2.4,228.61,1,2,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.6,1.6894,2.4583,2.6,217.36,1,1,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.55,1.5311,2.4417,2.4,147.95,1,1,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.825,1.5868,2.375,2.6,122.99,1,2,NaN,NaN,0,1,0,0
NaN,NaN,5,112,1,1,0.8,1.5474,2.5583,2.6,260.46,1,2,NaN,NaN,0,1,0,0
NaN,NaN,5,112,1,1,0.75,1.9136,2.45,2.6,275.51,1,2,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.725,1.6221,2.575,2.4,281.93,1,1,NaN,NaN,1,1,0,0
NaN,NaN,5,112,1,1,0.525,1.6314,2.2167,2.6,280.72,1,1,NaN,NaN,0,1,1,0
0.3584,1,5,112,1,1,0.975,1.5361,2.8583,2.6,307.52,1,2,-31.247,0.25684,0,0,1,0
NaN,NaN,5,112,1,1,0.925,1.5908,2.5833,2.4,40.063,1,1,NaN,NaN,0,1,1,0
0.44043,0,5,112,1,1,0.975,1.541,2.6333,2.6,284.01,1,1,-56.82,0.2041,0,0,1,0
NaN,NaN,5,112,1,1,0.75,1.6935,2.4,2.4,7.0104,1,2,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.6,1.7546,2.3,2.6,96.833,1,1,NaN,NaN,0,1,0,0
NaN,NaN,5,112,1,1,0.775,1.5527,2.5417,2.6,131.53,1,1,NaN,NaN,0,1,0,0
NaN,NaN,5,112,1,1,0.625,1.6701,2.2167,2.6,313.12,1,1,NaN,NaN,0,1,1,0
NaN,NaN,5,112,1,1,0.85,1.8785,2.6833,2.4,264.15,1,1,NaN,NaN,0,1,0,0
NaN,NaN,5,112,1,1,0.75,1.6756,2.3417,2.4,138.88,1,1,NaN,NaN,1,1,1,0
NaN,NaN,5,112,1,1,0.825,1.8419,2.6583,2.4,354.9,1,1,NaN,NaN,0,1,0,0
NaN,NaN,6,112,1,1,0.875,1.695,2.875,2.6,339.81,1,2,NaN,NaN,0,0,0,0
NaN,NaN,6,112,1,1,0.8,1.8938,2.7,2.6,357.95,1,1,NaN,NaN,0,0,0,0
NaN,NaN,6,112,1,1,0.525,1.6003,2.1,2.4,183.15,1,1,NaN,NaN,0,1,1,0
NaN,NaN,6,112,1,1,0.975,1.5185,2.8667,2.6,297.34,1,1,NaN,NaN,0,1,0,0
NaN,NaN,6,112,1,1,0.575,1.7363,2.1167,2.4,111.88,1,1,NaN,NaN,0,1,1,0
NaN,NaN,6,112,1,1,0.625,1.773,2.25,2.4,148.89,1,1,NaN,NaN,0,1,1,0
NaN,NaN,6,112,1,1,0.825,1.5809,2.5667,2.6,80.442,1,2,NaN,NaN,0,1,0,0
0.46484,0,6,112,1,1,0.725,1.537,2.6333,2.4,180.27,1,1,-21.803,0.21973,0,0,1,0
NaN,NaN,6,112,1,1,0.975,1.7048,2.775,2.6,157.3,1,2,NaN,NaN,0,1,1,0
NaN,NaN,6,112,1,1,0.6,1.9017,2.45,2.4,96.96,1,1,NaN,NaN,1,1,1,0
NaN,NaN,6,112,1,1,0.775,1.7728,2.7167,2.4,281.28,1,2,NaN,NaN,0,1,1,0
0.38574,1,6,112,1,1,0.7,1.8635,2.6417,2.4,74.933,1,2,-39.119,0.16406,0,0,1,0
0.50977,1,6,112,1,1,0.85,1.5278,2.3583,2.4,165.69,1,2,-59.876,0.24316,0,0,1,0
NaN,NaN,6,112,1,1,0.725,1.8757,2.5583,2.6,170.84,1,1,NaN,NaN,1,0,1,0
0.62793,1,6,112,1,1,0.9,1.6014,2.6083,2.6,208.39,1,2,-11.986,0.21094,0,0,1,0
0.74805,1,6,112,1,1,0.575,1.844,2.2917,2.4,322.74,1,2,-33,0.21094,0,0,1,0
0.75195,1,6,112,1,1,0.675,1.9213,2.3583,2.6,268.15,1,2,-31.35,0.24023,0,0,1,0
0.6377,1,6,112,1,1,0.65,1.8606,2.2,2.4,296.79,1,2,-50.09,0.21875,0,0,1,0
NaN,NaN,6,112,1,1,0.6,1.5427,2.2833,2.6,272.35,1,2,NaN,NaN,0,0,0,0
0.64355,1,6,112,1,1,0.85,1.5839,2.75,2.4,246.98,1,2,-31.296,0.19434,0,0,1,0
0.5625,1,6,112,1,1,0.6,1.7845,2.125,2.6,43.73,1,2,-56.807,0.21875,0,0,1,0
NaN,NaN,6,112,1,1,0.7,1.5166,2.6167,2.6,204.45,1,2,NaN,NaN,1,0,1,0
NaN,NaN,6,112,1,1,0.775,1.5421,2.7083,2.4,305.84,1,2,NaN,NaN,0,0,0,0
0.58789,1,6,112,1,1,0.675,1.6684,2.4667,2.4,335.19,1,2,-38.59,0.24219,0,0,1,0
0.58398,1,6,112,1,1,0.9,1.845,2.4917,2.4,339.62,1,2,-61.023,0.22461,0,0,1,0
0.62305,1,6,112,1,1,0.85,1.887,2.6083,2.6,203.63,1,2,-54.111,0.20215,0,0,1,0
0.55176,0,6,112,1,1,0.75,1.6329,2.4667,2.6,63.888,1,1,-38.069,0.21094,0,0,1,0
NaN,NaN,6,112,1,1,0.775,1.616,2.325,2.4,158.91,1,2,NaN,NaN,0,0,0,0
0.60059,1,6,112,1,1,0.9,1.8105,2.7667,2.4,204.14,1,2,-8.1288,0.16602,0,0,1,0
0.59863,0,6,112,1,1,0.725,1.6601,2.4417,2.4,68.471,1,1,-51.743,0.20605,0,0,1,0
0.65332,1,6,112,1,1,1,1.5154,2.5833,2.4,289.22,1,2,-11.794,0.20117,0,0,1,0
0.52441,1,6,112,1,1,0.6,1.8325,2.4667,2.4,4.053,1,2,-40.83,0.21387,0,0,1,0
NaN,NaN,6,112,1,1,0.65,1.6266,2.325,2.6,154.92,1,2,NaN,NaN,0,0,0,0
NaN,NaN,6,112,1,1,0.625,1.5104,2.525,2.6,192.73,1,2,NaN,NaN,0,0,0,0
0.55078,1,6,112,1,1,0.975,1.8598,2.6833,2.6,194.8,1,2,-64.171,0.20996,0,0,1,0
NaN,NaN,6,112,1,1,0.7,1.9842,2.25,2.4,91.598,1,2,NaN,NaN,0,0,0,0
NaN,NaN,6,112,1,1,0.65,1.6444,2.4083,2.6,29.821,1,2,NaN,NaN,1,0,1,0
0.45703,1,6,112,1,1,1,1.6353,2.8583,2.4,147.37,1,2,-26.822,0.19238,0,0,1,0
0.55957,1,6,112,1,1,0.65,1.7237,2.5917,2.6,22.137,1,2,-70.915,0.27148,0,0,1,0
0.5293,1,6,112,1,1,0.85,1.5049,2.55,2.4,297.51,1,2,-39.106,0.18848,0,0,1,0
NaN,NaN,6,112,1,1,0.6,1.8511,2.375,2.6,71.107,1,2,NaN,NaN,0,0,0,0
NaN,NaN,6,112,1,1,0.85,1.6825,2.55,2.6,94.31,1,1,NaN,NaN,1,0,0,0
0.58691,1,6,112,1,1,0.7,1.9679,2.6,2.4,212.19,1,2,-47.982,0.24609,0,0,1,0
NaN,NaN,6,112,1,1,0.6,1.7213,2.1333,2.6,80.606,1,2,NaN,NaN,0,0,0,0
0.59668,0,6,112,1,1,0.875,1.7836,2.7417,2.4,13.976,1,1,-47.022,0.25098,0,0,1,0
0.49512,1,6,112,1,1,0.975,1.9188,2.5917,2.6,52.324,1,2,-5.3393,0.17383,0,0,1,0
0.58984,0,6,112,1,1,0.8,1.6759,2.7583,2.6,201,1,1,-59.837,0.21484,0,0,1,0
0.54297,0,6,112,1,1,0.55,1.628,2.3083,2.4,198.46,1,1,-41.804,0.24121,0,0,1,0
NaN,NaN,6,112,1,1,0.725,1.9389,2.6083,2.4,159.41,1,2,NaN,NaN,0,0,0,0
NaN,NaN,6,112,1,1,0.925,1.685,2.5,2.4,156.96,1,2,NaN,NaN,0,0,0,0
NaN,NaN,6,112,1,1,0.7,1.926,2.6417,2.6,232.3,1,2,NaN,NaN,1,0,1,0
NaN,NaN,6,112,1,1,0.525,1.8517,2.3833,2.6,124.76,1,2,NaN,NaN,1,0,0,0
NaN,NaN,6,112,1,1,0.875,1.9004,2.525,2.4,116.69,1,1,NaN,NaN,0,0,0,0
0.80566,0,6,112,1,1,0.875,1.8559,2.825,2.4,83.012,1,1,-25.404,0.19043,0,0,1,0
0.59961,0,6,112,1,1,0.55,1.8033,2.4833,2.4,220.65,1,1,-25.947,0.24316,0,0,1,0
0.84473,1,6,112,1,1,0.55,1.9168,2.3,2.6,87.499,1,2,-141.5,0.21875,0,0,1,0
NaN,NaN,6,112,1,1,0.65,1.6443,2.2167,2.4,352.66,1,1,NaN,NaN,0,0,0,0
NaN,NaN,6,112,1,1,0.85,1.6209,2.4667,2.6,256.77,1,2,NaN,NaN,0,0,0,0
0.53418,1,6,112,1,1,0.8,1.6123,2.4083,2.6,248.64,1,2,-57.323,0.24023,0,0,1,0
0.54785,0,6,112,1,1,0.675,1.9129,2.525,2.4,79.792,1,1,-19.33,0.19824,0,0,1,0
0.49805,0,6,112,1,1,0.9,1.823,2.825,2.4,358.55,1,1,-45,0.2666,0,0,1,0
NaN,NaN,6,112,1,1,0.65,1.5981,2.1917,2.6,54.004,1,2,NaN,NaN,1,0,1,0
0.55273,0,6,112,1,1,0.675,1.9289,2.5333,2.4,41.832,1,1,-7.4234,0.23145,0,0,1,0
0.60059,1,6,112,1,1,0.6,1.7157,2.475,2.6,154.12,1,2,-78.21,0.24316,0,0,1,0
0.58301,0,6,112,1,1,0.6,1.8461,2.5333,2.4,85.282,1,1,-48.07,0.25781,0,0,1,0
0.48633,0,6,112,1,1,0.75,1.8856,2.2833,2.4,202.78,1,1,-96.772,0.19238,0,0,1,0
NaN,NaN,6,112,1,1,0.975,1.9782,2.825,2.4,112.51,1,2,NaN,NaN,0,0,0,0
0.44043,1,6,112,1,1,0.9,1.753,2.4417,2.4,176.32,1,2,-50.657,0.24023,0,0,1,0
0.46777,1,6,112,1,1,0.8,1.799,2.4833,2.4,23.773,1,2,-31.758,0.19922,0,0,1,0
0.41602,1,6,112,1,1,0.875,1.5389,2.5417,2.4,309.07,1,2,-17.796,0.22754,0,0,1,0
NaN,NaN,6,112,1,1,0.65,1.6724,2.3083,2.4,43.749,1,2,NaN,NaN,1,0,1,0
0.39648,1,6,112,1,1,0.725,1.9486,2.5417,2.4,138.41,1,2,-44.165,0.22363,0,0,1,0
0.40039,1,6,112,1,1,0.9,1.8782,2.4333,2.4,320.84,1,2,-58.894,0.24512,0,0,1,0
0.5791,1,6,112,1,1,0.925,1.9886,2.5167,2.6,278.41,1,2,-42.818,0.22363,0,0,1,0
0.67676,0,6,112,1,1,0.8,1.9926,2.7667,2.6,132.98,1,1,-48.395,0.13477,0,0,1,0
NaN,NaN,6,112,1,1,0.65,1.705,2.55,2.6,182.48,1,2,NaN,NaN,0,0,0,0
0.6543,1,6,112,1,1,0.625,1.5895,2.3583,2.4,127.48,1,2,-40.638,0.22266,0,0,1,0
0.45508,1,6,112,1,1,0.85,1.9111,2.5833,2.4,136.65,1,2,-56.136,0.15137,0,0,1,0
NaN,NaN,6,112,1,1,0.525,1.5603,2.4167,2.4,36.077,1,2,NaN,NaN,0,0,0,0
